puntos,foliose,fructicose,crustose,escuamulose,dimorphic,green_algae,ciabobacteria,both,apothecia,perithecia,soredia,isidia,uv_protection,Microbiological_protec,herbivory_protec,Foresp1,Foresp2,Foresp3,cilia,uv_protection,alellopathic,herbivory_protection,lad,pend,Slope,Slope_mrp,Orientation,Elevation,ORNS_lad,ORWE_lad,ORNS_aspect,ORWE_aspect
Ch 13B,3.00,0.00,5.00,0,0,8,0,0,6.00,0.00,1.00,1.00,4.00,6.00,1.00,3,2,0,0,4,6,1,1,80,1,3,0.70710678,0,1,0,1,-1
Ch 22A,6.00,2.00,9.00,0,0,17,0,0,12.00,0.00,5.00,2.00,6.00,12.00,1.00,10,2,0,2,6,12,1,5,40,0,2,-0.93969262,0,-1,0,-1,0
Ch 22B,6.00,1.00,14.00,0,0,21,0,0,14.00,0.00,6.00,4.00,9.00,11.00,1.00,10,3,1,1,9,11,1,5,90,1,3,0.76604444,0,-1,0,1,-1
Ch 23,9.00,1.00,11.00,1,1,22,0,1,13.00,0.00,9.00,3.00,9.00,15.00,2.00,7,3,1,2,9,15,2,7,85,1,3,-0.93969262,0,0,-10000,-1,0
Ch 25,5.00,2.00,11.00,0,0,18,0,0,15.00,0.00,3.00,1.00,8.00,11.00,2.00,9,3,1,2,8,11,2,6,90,1,3,-0.76604444,0,-1,-1,-1,-1
Ch 2,4.00,1.00,6.00,0,0,11,0,0,9.00,0.00,2.00,1.00,5.00,5.00,0.00,7,2,0,1,5,5,0,2,55,1,2,0,0,1,0,0,-1
Ch 47,8.00,1.00,8.00,0,1,17,0,1,9.00,0.00,5.00,4.00,6.00,15.00,0.00,7,4,0,1,6,15,0,3,85,1,1,0.81915204,1,0,1,1,1
Ch 31,8.00,5.00,12.00,1,2,27,0,1,16.00,0.00,13.00,4.00,10.00,18.00,2.00,9,6,0,7,10,18,2,5,90,1,3,-0.98480775,1,-1,0,-1,0
Ch 45,3.00,2.00,12.00,0,0,17,0,0,14.00,0.00,3.00,2.00,3.00,10.00,0.00,11,2,1,1,3,10,0,6,50,0,2,-0.34202014,1,-1,-1,0,-1
Ch 46,8.00,2.00,8.00,0,2,18,1,1,11.00,0.00,9.00,2.00,3.00,13.00,0.00,7,5,1,5,3,13,0,6,85,1,1,0.08715574,1,-1,-1,0,1
