muestra;grad;or_R;pend_c;tipo_roca;or_L;exp;sup;pend;piso;ORNS_L;ORNS_R;paj;roc;arb;so;mg;rast;ces;alt;Lichen_cover;Moss_cover;Rock_cover;A_altoandina;A_lorentzii;Acarospora_sp1;Acarospora_sp2;B_aethalea;B_aff_aethalea;B_concinna;B_dispersa;B_sulphurea;B_tellulata;B_tesserata;B_umbrina;Buellia_sp1;C_carneopruinata;C_chlorina;C_cinnabarina;C_sideritis;C_esteril;C_fimbriata;C_melanopoda;C_pyxidata;C_symphocarpa;Cladonia_sp;C_vitellina;Catillaria_sl;D_bisporus;D_diacapsis;D_muscorum;D_scruposus;D_oreina;D_pavonii;Dictyonema_sp;F_caperata;F_haysomii;F_papilosa;H_badia;H_breverhiza;H_dentella;H_intercalanda;H_leucomela;H_longiloba;H_revoluta;H_rhabdiformis;Hy_badia;H_fenzlianum;H_obscurata;H_speciosa;L_farinosa;L_granulosula;L_laboriosa;L_rupicola;Lecidea_sp;Lecidea_sp2;Lepraria_amarilla.1;Lepraria_lobulada;Lepraria_sp1;Lepraria_sp2;Leptogium_sp;O_austroamericana;O_parella;P_afrorevoluta;Parmelinopsis_sp;P_bonariensis;P_badia;P_candelarioides;P_colombiana;P_hypoleucites;P_perreticulata;P_punctilla;P_stictica;P_semansiana;P_distincta;P_pustulata;P_dydactila;P_hababianum;P_reticulatum;P_warmingii;P_rupicola;Paraparmelia_sp;P_coriacea;Pertusaria_ap2;Pertusaria_sp2;Pertusaria_sp3;Ph_ lobulata;Ph_dubia;Ph_tribacia;Phaeophyscia_sp;Placidium_sp;Psora_sp;Psora_sp.1;R_celastri;R_pilulifera;R_puiggarii;R_confragosa;R_confragosula;R_disporum;R_geographicum;R_inorense;R_obscuratum;R_propagulosum;Rhizocarpon_gris;Rimoso_blanco;S_ramulosum;T_atra;T_nodulifer;U_africana;U_amblyoclada;U_cornuta;U_diuretzi;U_hieronymi;U_krogiana;U_luti;U_polyrrhiza;U_saxidilatata;U_saxydilatata;X_cordillerana;X_cotopaxiensis;X_farinosa;X_hipopsila;X_microspora;X_microsticta;X_mougeoti;X_nefoscelia_sl;X_parietina;X_plittii;X_punctulata;X_santesonii;X_scabrosa;X_submougeotii;X_subtinctina;X_subulcerosa;X_taractica;X_ulcerosa;X_wrightiana;Xanthoparmelia_sp;Xanthoria_sp
T1_900R1;champa;N;vertical;granito;N;140;16.12;90;900;-0.9397;-0.866;20;10;30;10;10;20;0;943;82;9;21;0;1.2;0;0;8.4;0;0;0;0;0;0;0;0;1.2;0;0;0;0;0;0;0;0;0;0;2.2;0;0;0;0;0;0;0;0;0;0;0;3.6;0;0;0.2;0;0;0;0;0;0;0;0;0;4.4;0;0;0;0;0;0;0;0;0;2.2;0;0;0;0;0;0;0;1;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2;2
T1_900R2;champa;N;vertical;granito;N;135;134.4;80;900;-0.9397;-0.866;5;5;10;0;5;10;80;943;78;19;3;0;0.8;0;0;5.2;0;0;0;0;0;0;0;0;2.2;0;0;0;0.2;0;0;0;0;0;0;1.6;0;0;0;1.2;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8;3.2;0;0;0;0;0;0;0;0;5.8;0;0;0;0;0;0;0;7.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;5.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;2.6
T1_900R4;champa;plana;plana;granito;S;155;16.25;8;900;0.5;-0.766;5;10;10;15;5;10;50;936;84;2;14;0;1;0;0;5.4;0;0;0;0;0;0;4.2;0;3.6;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6;0;0;0;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0
T1_900R5;champa;S;vertical;granito;S;160;15.04;70;900;0.6428;0.866;10;10;20;5;5;10;30;937;87;0;13;0;1;0.4;0;4.4;0;0;0;0;0;0;3.2;0;2.2;0;0;0;1.2;0;0;0;0;0;0;0;0;0;0;1.2;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;0;0;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;12.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T1_1500R2;champa;S;vertical;granito;N;163;12;80;1500;-0.6428;0.866;0;40;20;20;5;5;0;1554;69;0;11;0;0.4;0.4;0;0;0;3.2;0;0;0;0;0;0;0;5;0;0;4.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.2;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.6;3.4;0;0;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;12.2;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0.8;3.8;0;0;0;0;0;0;0;0;0.2;0;0;0
T1_1500R3;champa;S;media;granito;S;160;4.5;40;1500;0.6428;0.9397;0;60;15;10;10;20;0;1458;54;0.4;46;0;2;1.2;0;3;2;0;0;0;0;0;0;0;0;5;0;0;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4.8;0;0;0;0;0;0;7.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T1_1500R4;champa;S;vertical;granito;S;110;8.75;70;1500;0.342;0.9848;0;0;0;16;20;20;0;1458;13;0.8;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;6.8;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;3.2;0.4;0;0;0;0;0;0;0;0;4.2;0;0;1.8;0;0;0;0;0;0;2.8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;7.6;0;0;0;0;0;0;5.2;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;1;0;0;0
T1_1500R6;champa;plana;plana;granito;N;175;10.5;10;1500;-0.766;-1;0;70;10;5;5;10;0;1475;60;0;40;0;0.4;0;0;1.4;0;0;0;0;0;0;0;0;0;6.4;0;0;4.6;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0.6;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.4;0;2.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0;0;0
T1_1500R7;champa;plana;plana;granito;N;165;15;5;1500;-0.1736;-0.9848;0;70;5;5;5;10;0;1480;58;0;42;0;1.8;0.4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.2;3;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.8;0;0;0
T1_1500R8;champa;plana;plana;granito;N;150;8.25;20;1500;-0.5;-0.9397;0;60;5;10;0;5;0;1480;56;0;44;0;1;0;0;0;3.2;0;0;0;0;0;0;0;0;8.2;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.4;2.6;0;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;0;0;0;0;0.4;0;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8;0;0;0
