id,fecha,parcela,estrato,forofito,num_forofito,corteza,dap,tipo_bosque,morfotipo,genero,especie,tipo_reprod,estructura_sexual,estructura_asexual,tipo_espora,tamano_espora,espora_largo,espora_ancho,espora_color,himenio,tlc,Observaciones
883,,,,,,,,bosque ribereño,crustoso,Letrouitia,Letrouitia domingensis,sexual,apotecio,ausente,septos transversales,,31,9,hialina,,,
885,,,,,,,,bosque ribereño,,Herpothallon,Herpothallon,,,,,,,,,,,
886,,,,,,,,,,algas,Algas,,,,,,,,,,,
887,,,,,,,,bosque ribereño,crustoso,Pyrenula,Pyrenula aff. anomala,sexual,peritecio,ausente,septada,,,,hialina,no amiloideo,sobre perdido verificar,
888,,,,,,,,bosque ribereño,,Leptogium,Leptogium azureum,,,,,,,,,,sobre perdido verificar,
889,,,,,,,,bosque ribereño,bisoide,Herpothallon,Herpothallon,,,,,,,,,,,
890,,,,,,,,,,algas,Algas,,,,,,,,,,,
891,,,,,,,,bosque ribereño,,Coenogonium,Coenogonium interplexum,,,,,,,,,,,
892,,,,,,,,,crustoso,indeterminado,indeterminado,asexual,ausente,isidios cortos,ausente,,,,,,"comun en bosques, parecida a talos de coenogonium, porina o crypthotecia.",
893,,,,,,,,bosque ribereño,filamentoso,Coenogonium,Coenogonium lepreurii,sexual,apotecio,ausente,,,,,,,dificil ver esporas,apotecio 1mm
894,,,,,,,,bosque ribereño,crustoso,Letrouitia,Letrouitia domingensis,sexual,apotecio,ausente,septos transversales,mediana,32,8,hialina,amiloideo,,"k+ amarillo oscuro, c- NO debe tener dibenzofuranos"
895,,,,,,,,bosque ribereño,,Leptogium,Leptogium azureum,,,,,,,,,,,
896,,,,,,,,bosque ribereño,,Parmotrema,Parmotrema subrugatum,,,,,,,,,,,"k- or k+ yellow, kc-, c pale orange"
897,,,,,,,,,,Indeterminado,indeterminado,,,,,,,,,,,
898,,,,,,,,bosque ribereño,,Parmotrema,Parmotrema tinctorum,,,,,,,,,,,
899,,,,,,,,,,algas,Algas,,,,,,,,,,,
900,,,,,,,,bosque ribereño,folioso,Sticta,Sticta beauvoisii,asexual,ausente,isidio,,,,,,,Pero marginal hay filidio escasos?,
901,,,,,,,,,escuamuloso,Phyllopsora,Phyllopsora sp.,asexual,ausente,isidio,no vistas,no vistas,no vistas,no vistas,no vistas,no vistas,,"k+ amarillo, c- , uv-"
903,,,,,,,,bosque ribereño,crustoso,Lepraria,Lepraria aff.,sexual,apotecio,isidio,simple,pequeñas,"11,2","7,5",hialinas,amiloideo,2-O-methylatranorin,"k+ amarillo, c-, uv-. Ver químicos"
904,,,,,,,,bosque ribereño,,Punctelia,Punctelia subrudecta,,,,,,,,,,,TLC: no substances
905,,,,,,,,bosque ribereño,folioso,Phyllopsora,Phyllopsora aff chorophaea,sexual,apotecio,ausente,simple,,8(29)*2(6),,hialina,amiloideo,,"I+ azul, sin corteza inferior"
906,,,,,,,,bosque ribereño,,Herpothallon,Herpothallom rubrocintum,,,,,,,,,,,
907,,,,,,,,bosque ribereño,crustoso,Trypethellium,Trypethellium,sexual,estroma,ausente,septada,,"41,53-91,46","6,16-15,02",hialina,no amiloideo,,"talo: K+a leve, c-. espora con 17-15 -12-11-9-7 septos, UV+ disco del estroma amarillo y talo verde brillante Parafisis ramificada
Aceites y cristales en el himenio"
908,,,,,,,,bosque ribereño,,Flavoparmelia,Flavoparmelia sp,,,,,,,,,,,
909,,,,,,,,bosque ribereño,crustoso,Cresponea aff,Cresponea sp1,sexual,apotecio,ausente,septada,,"47,73-37,14","3,10-5,42",hialina,amiloideo,,
910,,,,,,,,bosque ribereño,,Physcia,Physcia sinuosa,,,,,,,,,,,
911,B,,,,,,,bosque ribereño,crustosa,Pertusaria,Pertusaria sp,sexual,peritecio,,,no vistas,,,,,,picnidio con ornamentos vistos a 100x
911,A,,,,,,,bosque ribereño,microfolioso/escuamuloso,Phyllopsora,Phyllopsora sp.,asexual,ausente,isidio,no vistas,no vistas,no vistas,no vistas,no vistas,no vistas,,"k+ amarillo, c- , uv-. Igual a muestra 901"
912,,,,,,,,bosque ribereño,,Flavoparmelia,Flavoparmelia sp,,,,,,,,,,,
913,,,,,,,,bosque ribereño,,Porina,Porina mastoidea,,,,,,,,,,,
914,,,,,,,,bosque ribereño,,Parmotrema,Parmotrema tinctorum,,,,,,,,,,,
915,,,,,,,,bosque ribereño,,Crocodia,Crocodia clathrata,,,,,,,,,,,
916,,,,,,,,bosque ribereño,,Parmotrema,Parmotrema tinctorum,,,,,,,,,,,
917,,,,,,,,bosque ribereño,,Physcia,Physcia sinuosa,,,,,,,,,,,
918,,,,,,,,bosque ribereño,crustoso,Graphis,Graphis sp,sexual,lirela,ausente,no vistas,no vistas,no vistas,no vistas,no vistas,no vistas,,"k+ amarillo -> naranja, esporas no vistas. BUSCAR si hay tiempo"
919,,,,,,,,bosque ribereño,,Herpothallon,Herpothallon sp,-,ausente,-,no vistas,no vistas,no vistas,no vistas,no vistas,no vistas,,"k+ amarillo, c-, uv ligeramente amarillo"
920,,,,,,,,bosque ribereño,,Heterodermia,Heterodermia albicans,,,,,,,,,,,
921,,,,,,,,bosque ribereño,,Parmotrema,Parmotrema foliolosum,,,,,,,,,,,
922,,,,,,,,reforestación,,Leptogium,Leptogium astroamericanum,,,,,,,,,,,
923,,,,,,,,reforestación,,Crespoa,Crespoa crozalsiana,,,,,,,,,,,
924,,,,,,,,reforestación,,Parmotrema,Parmotrema melanochaetum,,,,,,,,,,,
926,,,,,,,,reforestación,crustoso,Indeterminado,indeterminado,sexual,lirelas,ausente,sin esporas,,,,,,,"Carbonizacion completa, con cristales, insperso. no inmerso"
926,,,,,,,,reforestación,crustoso,Indeterminado,indeterminado,sexual,lirelas,ausente,,,,,,no amiloideo,,"lirelas adheridas a ligeramente prominente, carbonizacion "
927,,,,,,,,reforestación,crustoso,Graphis,Graphis aff lineola,sexual,lirela,ausente,septada,,17-24,6-7,hialina,no amiloideo,,"7-8 septos, ascos 4 a 8 esporas I-, C- en parafisis, Asco violeta con I, Himenio I-"
928,11/9/2024,,,,,,,reforestación,crustoso,Cratiria,Cratiria sp,sexual,apotecio,ausente,septada,,6 a 7.22,2.6 a 3,marrón,no  amiloideo,,"C negativo, k+ amarillo, cristales rojizos, insperso, UV negativo, esporas de color marron de 1 a 3 septos, pared levemente engrosada, hasta 4 septos, ascos con 7 esporas"
929,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
930,,,,,,,,reforestación,,Parmotrema,Parmotrema praesorediosum,,,,,,,,,,,
931,,,,,,,,reforestación,crustoso,Glyphis,Glyphis scyphulifera,sexual,lirela circular,ausente,muriformes,grande,31,11,,no amiloideo,,k+ amarillo -> naranja
932,,,,,,,,reforestación,crustoso,Graphis,Graphis syzigii,sexual,lirelas,ausente,septado,grande,27,8,hialina,,,buscar stictico
933,,,,,,,,reforestación,,Dirinaria,Dirinaria applanata,asexual,ausente,soralia,ausente,ausente,ausente,ausente,ausente,,,
933,,,,,,,,reforestación,crustoso,Haematomma,Haematomma sp,sexual,apotecio,ausente,septada,,"54,36","5,92",hialina,amiloideo,b,"Apotecio con disco rojo, k+purpura. I+azul Esporas con 7 (10) septos, cristales presentes"
933,,,,,,,,,crustoso,Lecanora/Haemmatoma,,,,,,,,,,,,
934,,,,,,,,reforestación,,Leptogium,Leptogium hibernicum,,,,,,,,,,,
935,,,,,,,,reforestación,,Parmotrema,Parmotrema  austrosinense,,,,,,,,,,,TLC: atranorine
936,,,,,,,,reforestación,,Physcia,Physcia aff. aipola,,,,,,,,,,,
937,,,,,,,,reforestación,,Physcia,Physcia abscendens,,,,,,,,,,,
938,,,,,,,,reforestación,crustoso,Haematomma,haematomma sp,,,,,,,,,,,
939,,,,,,,,reforestación,crustoso,Lecanora? Protoparmelia?,,sexual,"apotecio con margen talino, 1mm",,,,"4,2",3,hialinas,no amiloideo,,"uv leve, c-"
940,,,,,,,,reforestación,crustoso,Stigmatochroma,Stigmatochroma aff. metaleptodes,sexual,presente,ausente,septada,mediano,15,6,oliváceas,,"Norstictic, Atranorin","k+ rojo cristales aciculares, ver como son las ""finamente ornamentadas"". Buscar ac norestíctico"
941,,,,,,,,reforestación,crustoso,Cresponea,Cresponea sp,sexual,apotecio,ausente,,,15,5,marrón,amiloideo,,"k+ naranja, cristales aciculares"
941,,,,,,,,reforestación,crustoso,Glyphis,Glyphis scyphulifera,sexual,lirela redondeada,ausente,no vistas,,,,,,,
941,,,,,,,,reforestación,crustoso,Pertusaria,Pertusaria sp,ausente,apotecio esteril?,ausente,no vistas,no vistas,no vistas,no vistas,no vistas,no vistas,,"uv naranja, k amarillo"
942,,,,,,,,reforestación,crutoso,Pyrenula,Pyrenula sp1,sexual,peritecio,ausente,muriforme,grande,44,21,oliváceas,,,k+ amarillo
943,,,,,,,,reforestación,,Parmotrema,Parmotrema neotropicum,,,,,,,,,,,
944,,,,,,,,reforestación,,Punctelia,Punctelia subrudecta,,,,,,,,,,,
945,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
949,,,,,,,,reforestación,,Ramalina,Ramalina aff peruviana,,,,,,,,,,,
950,,,,,,,,reforestación,,Parmotrema,Parmotrema sancti-angeli,,,,,,,,,,,
951,,,,,,,,reforestación,,Haematomma,Haematomma flexosum,,,,,,,,,,,
952,,,,,,,,reforestación,,Leptogium,Leptogium sp,,,,,,,,,,,
953,,,,,,,,reforestación,,Physcia,Physcia aipola,,,,,,,,,,,
954,,,,,,,,reforestación,,Pyxine,Pyxine astridiana,,,,,,,,,,,
955,,,,,,,,reforestación,,Punctelia,Punctelia subrudecta,,,,,,,,,,,
956,,,,,,,,reforestación,,Physcia,Physcia abscendens,,,,,,,,,,,
957,,,,,,,,reforestación,,Physcia,Physcia aipola,,,,,,,,,,,
957,,,,,,,,reforestación,,Pyxine,Pyxine berteriana aff,,,,,,,,,,,
958,,,,,,,,reforestación,,Trypethelium,Trypethelium elutariae,,,,,,,,,,,
959,,,,,,,,reforestación,,Canoparmelia,Canoparmelia aff scrubicularis,,,,,,,,,,,
960,,,,,,,,reforestación,,Lecanora,Lecanora sp,,,,,,,,,,,
961,,,,,,,,reforestación,,Parmotrema,Parmotrema aff. mesotropum,,,,,,,,,,,
962,,,,,,,,reforestación,,Parmotrema,Parmotrema wainioi,,,,,,,,,,TLC: Alectoronico,
963,,,,,,,,reforestación,,Ramalina,Ramalina celastri,,,,,,,,,,,
964,,,,,,,,reforestación,,Parmotrema,Parmotrema wainioi,,,,,,,,,,,
965,,,,,,,,reforestación,,Ramalina,ramalina celastri,,,,,,,,,,,
966,,,,,,,,reforestación,,Ramalina,ramalina aff complanata,,,,,,,,,,,
967,,,,,,,,reforestación,,Ramalina,Ramalina celastri,,,,,,,,,,,
968,,,,,,,,reforestación,,Leptogium,Leptogium phyllocarpum,,,,,,,,,,,
969,,,,,,,,reforestación,,Parmotrema,Parmotrema mesotropum,,,,,,,,,,,
970,,,,,,,,reforestación,,Parmotrema,Parmotrema mesotropum,,,,,,,,,,,
971,,,,,,,,reforestación,,Ramalina,Ramalina celastri,,,,,,,,,,,
972,,,,,,,,reforestación,crustoso,Graphis,Graphis sp,sexual,lirelas,ausente,septada,,31,"8,5",hialina,amiloideo,,"labio no estriado, rxn k+ a oscuro, ascos 8esporas, septadas 8-10, parafisis simple. esporas i+a"
973,,,,,,,,reforestación,crustoso,Arthonia,Arthonia sp1,sexual,apotecio,ausente,septada,,"11,58","3,32",hialina,amiloideo,,"ascoma inmerso e insperso, con cristales esporas 8septos, asco con 8 esporas. las puntas del asco tenidas con k+marron, aceites, esporas levemente  teñidas con i+"
974,,,,,,,,reforestación,crustoso,Lecanora,Lecanora sp,sexual,apotecio,ausente,simple,,,,hialina,amiloideo,,"cristales sin disolverse con k, talo k+a oscuro"
975,,,,,,,,reforestación,crustoso,Pyrenula,Pyrenula sp,,,,,,,,,,,no se observa peritecios con ascomas.
976,,,,,,,,reforestación,,Ramalina,Ramalina celastri,,,,,,,,,,,
977,,,,,,,,reforestación,crustoso,Gassicurtia,Gassicurtia acidobaeomyceta,sexual,apotecio,ausente,septada,mediana,12,"7,8",marrón,,"atranorina, thiophanic acid, uk at RF3","uv-, k+ amarillo, c+ amarillo pálido. Nueva para Paraguay"
978,,,,,,,,reforestación,crustoso,Pyrgillus,Pyrgillus sp,sexual,apotecio,ausente,septada,pequeña,,,marrón,no amiloideo,?Norstictic,"k amarillo en apotecio, naranja oscuro en talo. uv-, k+amarillo en pigmento, c-, kc-. Cristales aciculares con K"
979,,,,,,,,reforestación,,Parmotrema,Parmotrema,,,,,,,,,,,
979,,,,,,,,reforestación,,Pertusaria,Pertusaria aff. formosensis,,,,,,,,,,,
980,,,,,,,,reforestación,folioso,Parmotrema,Parmotrema aff. mesotropum,sexual,apotecio,ausente,no vistas,no vistas,no vistas,no vistas,no vistas,no vistas,Atranorina,k- c- kc- uv- Buscar barbático para descartar otra sp
981,,,,,,,,reforestación,folioso,Chrysothrix,Chrysothrix candelaris,ausente,ausente,soredios,no vistas,no vistas,no vistas,no vistas,no vistas,no vistas,,"k violeta, uv tenue"
981,,,,,,,,reforestación,crustoso,Glyphis,Glyphis cicatricosa,sexual,lirelas,ausente,"muriformes, septos transversales",mediana,33,10,hialinas,no amiloideo,,"uv leve, c-, k amarillo naranja"
982,,,,,,,,reforestación,,Ramalina,Ramalina sp,,,k+a Le parece a complanata que es k+a-r,,,,,,,,
983,,,,,,,,reforestación,,Ramboldia,Ramboldia russula,,,,,,,,,,,
984,26/10/2019,,,,,,,reforestación,crustoso,Arthonia,Arthonia sp2,,,,,,,,,amiloideo,uk,"k+a talo-C-, KC-"
985,26/10/2019,,,Hexachlamys edulis,,,,reforestación,Crustoso,Sarcographa,Sarcographa aff. tricosa,sexual,lirelas esteladas y ramificadas,ausente,septada,,20,4,marron,no amiloideo,,
986,26/10/2019,,,,,,,reforestación,Crustoso,Ochrolechia,Ochrolechia sp,sexual,presente,ausente,simple,mediano,"21,33333333","10,16666667",oliváceas,amiloideo,,
987,,,,,,,,,,indeterminado,indeterminado,,,,,,,,,,,
116(dentro de 911),,,,,,,,reforestación,crustoso,Pertusaria,Pertusaria sp.,sexual,apotecios compuestos,ausente,simples,mediana,"15,1","6,5",hialina,amiloideo,,"k+ marillo, c+ amarillo, kc+ amarillo, uv verdoso en talo y blanco en apotecios"
98X,,,,,,,,reforestación,folioso,Canoparmelia,Canoparmelia scrobicularis,sexual,apotecio,presente,simple,pequeño,"9,5",5,hialina,,,
XXX,11/9/2024,,,,,,,reforestación,crustoso,Monoblastia,Monoblastia sp,sexual,peritecio,ausente,simple,,,,hialinas,amiloideo,,UV+naranja
