muestra,roca,tmto,MS,Pmesc,Pmsec,area,CRHtot,CRHint,CRHext,Chtot,Chint,spp
R15_ 1-1 y 1-2 usnea,R15,sur_norte,0.9,2.1,1.5,1397.497,0.085867805,0.042933903,0.042933903,1.2,0.6,Usnea_amblyoclada
R15_ 1-1 y 1-2 parmotrema,R15,sur_norte,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parmotrema_reticulatum
R16_2-1,R16,control_norte,1.3,2.9,2.3,1610.486,0.099348892,0.062093058,0.037255835,1.6,1,Usnea_amblyoclada
R17_1-2 y 2-2 usnea,R17,control_sur,1,2.2,1.6,1041.769,0.115188684,0.057594342,0.057594342,1.2,0.6,Usnea_amblyoclada
R17_1-2 y 2-2 parmotrema,R17,control_sur,1.2,3.3,2.2,1910.315,0.109929514,0.052347388,0.057582127,2.1,1,Parmotrema_reticulatum
R17_1-1 y 2-1 usnea,R17,control_sur,1.4,3.6,2.5,2011.86,0.109351545,0.054675773,0.054675773,2.2,1.1,Usnea_amblyoclada
R17_1-1 y 2-1 parmotrema,R17,control_sur,1.6,5.3,3.9,2206.248,0.167705535,0.104249386,0.063456148,3.7,2.3,Parmotrema_reticulatum
R17_1-3 y 2-3 usnea,R17,control_sur,0.3,0.8,0.6,805.096,0.062104395,0.037262637,0.024841758,0.5,0.3,Usnea_amblyoclada
R17_1-3 y 2-3 parmotrema,R17,control_sur,0.3,1.2,0.7,461,0.19538034,0.086835707,0.108544634,0.9,0.4,Parmotrema_reticulatum
R18_1-2 y 1-3 usnea,R18,norte_sur,1.7,4.1,2.9,1968.506,0.121919872,0.060959936,0.060959936,2.4,1.2,Usnea_amblyoclada
R18_1-2 y 1-3 parmotrema,R18,norte_sur,0.9,4,2.6,2405.149,0.128890144,0.070681692,0.058208452,3.1,1.7,Parmotrema_reticulatum
R18_2-2,R18,norte_sur,1,3.5,2.1,2919.624,0.085627464,0.037676084,0.04795138,2.5,1.1,Parmotrema_reticulatum
R21_1-2 y 2-2 usnea,R21,control_sur,0.8,1.7,1.2,1325.914,0.067877705,0.030167869,0.037709836,0.9,0.4,Usnea_amblyoclada
R21_1-2 y 2-2 parmotrema,R21,control_sur,0.4,1.8,1.1,1465.115,0.095555639,0.047777819,0.047777819,1.4,0.7,Parmotrema_reticulatum
R25_1-1 y 1-2 usnea,R25,norte_sur,0.8,1.8,1.3,1505.141,0.066438958,0.033219479,0.033219479,1,0.5,Usnea_amblyoclada
